Abr22,UBER,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,25,25,0,25
5,"94,72","52,78",25,"172,5","-56,88","115,62"
6,0,0,25,25,0,25
7,"124,4","91,94",55,"271,34",-172,"99,34"
8,0,0,25,25,0,25
9,0,0,0,0,0,0
10,0,0,630,630,0,630
11,0,0,25,25,0,25
12,0,0,25,25,0,25
13,"110,8","58,15",25,"193,95",-112,"81,95"
14,"237,48",41,26,"304,48",-180,"124,48"
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,25,25,0,25
19,"6,05","53,27",25,"84,32",-67,"17,32"
20,"197,79","82,83",32,"312,62",-128,"184,62"
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,25,25,0,25
26,"157,27","13,93",25,"196,2",-112,"84,2"
27,0,0,25,25,0,25
28,0,0,25,25,0,25
29,0,0,25,25,0,25
30,0,0,0,0,0,0
Abr22,Uber,99Pop,OUTROS,Total,Gastos,Liquido
,"928,51","492,9",1093,"2415,41","-827,88","1587,53"
