,,,,,,,,
,M04,99POP,UBER,OUTROS,TOTAL,GASTOS,LIQUIDO,Status
,1,"113,77","145,22","0,00","258,99","-158,51","100,48",C-Gyn
,2,"68,64","118,45","120,00","307,09","-212,51","94,58",C-BSB
,3,"135,60","97,46","0,00","233,06","-183,51","49,55",C-BSB
,4,"115,78","171,74","0,00","287,52","-183,51","104,01",C-BSB
,5,"93,10","268,60","15,00","376,70","-233,51","143,19",C-BSB
,6,"28,55","141,45","0,00","170,00","-158,51","11,49",C-BSB
,7,"74,37","126,74","0,00","201,11","-158,51","42,60",C-BSB
,8,"64,81","206,69","0,00","271,50","-208,51","62,99",C-BSB
,9,"87,96","144,88","0,00","232,84","-208,51","24,33",C-BSB
,10,"94,72","111,35","10,00","216,07","-163,51","52,56",C-BSB
,11,"96,21","174,45","0,00","270,66","-190,99","79,67",C-BSB
,12,"86,59","270,89","0,00","357,48","-215,99","141,49",C-BSB
,13,"0,00","43,26","0,00","43,26","-15,90","27,36",Folga
,14,"178,24","311,14","0,00","489,38","-366,68","122,70",C-BSB
,15,"7,00","62,49","0,00","69,49","-50,00","19,49",Viagem
,16,"69,50","44,10","8,91","122,51","-60,00","62,51",M-Gyn
,17,"55,30","0,00","100,00","155,30","-96,00","59,30",M-Gyn
,18,"97,00","0,00","0,00","97,00","-20,00","77,00",M-Gyn
,19,"104,30","0,00","33,00","137,30","-23,00","114,30",M-Gyn
,20,"105,08","55,80","28,17","189,05","-40,00","149,05",M-Gyn
,21,"0,00","0,00","20,00","20,00","-20,00","0,00",Folga
,22,"133,50","44,50","0,00","178,00","-74,00","104,00",M-Gyn
,23,"104,38","54,90","0,00","159,28","-50,00","109,28",M-Gyn
,24,"64,60","4,50","0,00","69,10","-20,00","49,10",M-Gyn
,25,"32,73","220,76","0,00","253,49","-158,96","94,53",C-Gyn
,26,"96,96","350,69","0,00","447,65","-293,92","153,73",M-Gyn
,27,"98,81","179,51","0,00","278,32","-146,96","131,36",M-Gyn
,28,"34,25","70,95","0,00","105,20","-96,96","8,24",M-Gyn
,29,"16,35","147,45","120,00","283,80","-257,00","26,80",M-Gyn
,30,"147,00","176,51","0,00","323,51","-255,96","67,55",M-Gyn
,4, 99POP ,UBER,OUTROS,TOTAL, GASTOS , LIQUIDO ,
,-," R$ 2.405,10 "," R$ 3.744,48 "," R$ 455,08 "," R$ 6.604,66 ","-R$ 4.321,42 "," R$ 2.283,24 ",
