M12,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
1,"318,86","100,06",0,"418,92",-80,-125,"213,92"
2,"322,8",0,0,"322,8",-80,-100,"142,8"
3,"357,61",0,0,"357,61",-80,-111,"166,61"
4,"230,35",0,0,"230,35",-80,-67,"83,35"
5,"245,25",7,120,"372,25",-70,-75,"227,25"
6,"277,62","29,8",0,"307,42",-90,-75,"142,42"
7,"224,97",0,0,"224,97",-70,-40,"114,97"
8,"571,21",0,0,"571,21",-90,-75,"406,21"
9,"127,54",0,0,"127,54",-70,-28,"29,54"
10,"89,35","89,83",0,"179,18",-90,-15,"74,18"
11,"292,13","112,11",0,"404,24",-50,-163,"191,24"
12,"135,42","58,4",0,"193,82",-90,-50,"53,82"
13,"168,75","18,6",100,"287,35",-80,-80,"127,35"
14,0,0,0,0,0,0,0
15,"353,58","79,2",0,"432,78",-160,-166,"106,78"
16,"340,51","44,3",0,"384,81",-100,-180,"104,81"
17,"336,31","41,97",0,"378,28",-120,-100,"158,28"
18,"85,9","12,4",0,"98,3",-30,-60,"8,3"
19,"211,5","161,4",0,"372,9",-60,-100,"212,9"
20,"484,87","87,99",0,"572,86",-80,-158,"334,86"
21,"297,76","57,4",0,"355,16",-80,-100,"175,16"
22,"470,97",0,0,"470,97",-240,-100,"130,97"
23,"279,75",0,100,"379,75",-80,-125,"174,75"
24,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0
26,"101,1","92,7",100,"293,8",-70,-131,"92,8"
27,"292,57","47,3",0,"339,87",-80,-100,"159,87"
28,"31,41",8,100,"139,41",-80,-50,"9,41"
29,"140,59","136,7",0,"277,29",-80,-127,"70,29"
30,"158,03","145,16",0,"303,19",-80,-100,"123,19"
31,"338,46","27,75",0,"366,21",-80,-118,"168,21"
M12,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
-,"7285,17","1358,07",520,"9163,24",-2440,-2719,"4004,24"
