Fev22,UBER,99POP,OUTROS,TOTAL,GASTOS,Liquido
1,"138,54","216,68","-30,00","325,22","-135,00","190,22"
2,"0,00","0,00","100,00","100,00","0,00","100,00"
3,"0,00","149,02","-30,00","119,02","-87,00","32,02"
4,"0,00","70,65","100,00","170,65","0,00","170,65"
5,"0,00","225,29","-30,00","195,29","-88,00","107,29"
6,"0,00","328,00","-30,00","298,00","-153,00","145,00"
7,"0,00","77,35","0,00","77,35","0,00","77,35"
8,"0,00","336,69","-30,00","306,69","-77,00","229,69"
9,"0,00","156,15","-30,00","126,15","-73,00","53,15"
10,"0,00","409,52","0,00","409,52","-10,00","399,52"
11,"223,62",36.93,"-30,00","193,62","-100,00","93,62"
12,"23,17","0,00","138,00","161,17","-150,00","11,17"
13,"78,47","6,58","0,00","85,05","0,00","85,05"
14,"76,52","0,00","138,00","214,52","-145,00","69,52"
15,"65,01","0,00","0,00","65,01","-43,00","22,01"
16,"226,49","0,00","-5,00","221,49","-100,00","121,49"
17,"175,22","39,23","-30,00","184,45","-70,00","114,45"
18,"0,00","0,00","0,00","0,00","0,00","0,00"
19,"106,73","260,34","-40,00","327,07","-130,00","197,07"
20,"0,00","0,00","0,00","0,00","0,00","0,00"
21,"0,00","0,00","0,00","0,00","0,00","0,00"
22,"0,00","0,00","0,00","0,00","0,00","0,00"
23,"0,00","0,00","0,00","0,00","0,00","0,00"
24,"247,23","0,00","-33,00","214,23","-88,50","125,73"
25,"92,67","169,42","30,00","292,09","-113,00","179,09"
26,"247,23","0,00","-33,00","214,23","-88,50","125,73"
27,"92,67","169,42","30,00","292,09","-113,00","179,09"
28,"0,00","13,15","0,00","13,15","-5,00","8,15"
Fev22,UBER,99POP,OUTROS,TOTAL,GASTOS,Liquido
$,"1793,57","2627,49","188,00","4099,74","-1567,50","2532,24"
