,,,,,,,,
,M02,99POP,INDRIVER,OUTROS,TOTAL,GASTOS,LIQUIDO,Status
,1,"90,55","37,00","0,00","127,55","-20,00","107,55",
,2,"37,71","0,00","0,00","37,71","-20,00","17,71",
,3,"93,99","44,00","0,00","137,99","-20,00","117,99",
,4,"63,09","18,00","137,00","218,09","-40,00","178,09",
,5,"126,13","10,00","42,60","178,73","-20,00","158,73",
,6,"114,30","13,00","3,40","130,70","-10,00","120,70",
,7,"80,90","80,00","5,00","165,90","-20,00","145,90",
,8,"144,40","18,00","0,00","162,40","-20,00","142,40",
,9,"155,24","107,00","15,00","277,24","-30,00","247,24",
,10,"0,00","0,00","37,00","37,00","-30,00","7,00",
,11,"0,00","0,00","0,00","0,00","0,00","0,00",
,12,"0,00","0,00","0,00","0,00","0,00","0,00",
,13,"0,00","0,00","0,00","0,00","0,00","0,00",
,14,"0,00","0,00","0,00","0,00","0,00","0,00",
,15,"101,60","0,00","6,90","108,50","-20,00","88,50",
,16,"122,30","14,00","0,00","136,30","-60,00","76,30",
,17,"0,00","13,00","80,49","93,49","-20,00","73,49",
,18,"36,90","6,00","16,06","58,96","-20,00","38,96",
,19,"117,82","14,00","10,23","142,05","-40,00","102,05",
,20,"121,60","24,00","21,59","167,19","0,00","167,19",
,21,"44,60","0,00","0,00","44,60","-20,00","24,60",
,22,"102,29","36,00","0,00","138,29","-20,00","118,29",
,23,"63,33","10,00","0,00","73,33","-20,00","53,33",
,24,"0,00","0,00","0,00","0,00","0,00","0,00",
,25,"9,00","0,00","54,71","63,71","-20,00","43,71",
,26,"77,61","19,00","14,79","111,40","-20,00","91,40",
,27,"109,89","8,00","22,00","139,89","-20,00","119,89",
,28,"93,23","25,00","23,91","142,14","-20,00","122,14",
,29,"95,46","21,00","38,76","155,22","0,00","155,22",
,M02, 99POP ,INDRIVER,OUTROS,TOTAL, GASTOS , LIQUIDO ,
,-," R$ 2.001,94 "," R$ 517,00 "," R$ 529,44 "," R$ 3.048,38 ","-R$ 530,00 "," R$ 2.518,38 ",
