Jul23,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
1,"68,30","0,00","68,30","0,00","68,30"
2,"55,66","0,00","55,66","0,00","55,66"
3,"101,95","0,00","101,95","-40,00","61,95"
4,"69,36","0,00","69,36","0,00","69,36"
5,"108,76","0,00","108,76","-50,00","58,76"
6,"0,00","0,00","0,00","0,00","0,00"
7,"51,31","0,00","51,31","0,00","51,31"
8,"43,00","0,00","97,28","0,00","97,28"
9,"107,34","0,00","107,34","-60,00","47,34"
10,"79,20","0,00","79,20","0,00","79,20"
11,"122,90","0,00","122,90","0,00","122,90"
12,"34,36","0,00","34,36","0,00","34,36"
13,"19,38","0,00","19,38","0,00","19,38"
14,"34,00","0,00","34,00","0,00","34,00"
15,"85,68","0,00","85,68","0,00","85,68"
16,"67,12","0,00","67,12","0,00","67,12"
17,"56,38","5,50","61,88","-20,00","41,88"
18,"85,14","0,00","85,14","0,00","85,14"
19,"6,24","36,00","42,24","-30,00","12,24"
20,"0,00","6,00","6,00","-5,95","0,05"
21,"54,34","18,00","72,34","-30,00","42,34"
22,"43,90","47,50","91,40","-60,00","31,40"
23,"11,04","0,00","11,04","0,00","11,04"
24,"45,10","49,50","107,00","0,00","94,60"
25,"0,00","0,00","0,00","0,00","0,00"
26,"0,00","0,00","0,00","0,00","0,00"
27,"0,00","0,00","0,00","0,00","0,00"
28,"0,00","1648,00","1648,00","-60,00","1588,00"
29,"0,00","0,00","0,00","0,00","0,00"
30,"0,00","0,00","0,00","0,00","0,00"
31,"0,00","0,00","22,00","0,00","0,00"
Jul23, 99POP , OUTROS , TOTAL , GASTOS , LIQUIDO 
-," R$ 1.404,74 "," R$ 1.810,50 "," R$ 3.249,64 ","-R$ 355,95 "," R$ 2.859,29 "
