6,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
1,"0,00","700,00","700,00","0,00","700,00"
2,"0,00","0,00","0,00","0,00","0,00"
3,"0,00","0,00","0,00","0,00","0,00"
4,"0,00","0,00","0,00","0,00","0,00"
5,"0,00","0,00","0,00","0,00","0,00"
6,"0,00","1524,00","1524,00","-64,00","1460,00"
7,"0,00","0,00","0,00","0,00","0,00"
8,"0,00","1912,00","1912,00","0,00","1912,00"
9,"0,00","0,00","0,00","0,00","0,00"
10,"0,00","0,00","0,00","0,00","0,00"
11,"0,00","0,00","0,00","0,00","0,00"
12,"0,00","0,00","0,00","0,00","0,00"
13,"0,00","0,00","0,00","0,00","0,00"
14,"0,00","0,00","0,00","0,00","0,00"
15,"0,00","760,00","760,00","0,00","760,00"
16,"0,00","50,00","50,00","0,00","50,00"
17,"0,00","0,00","0,00","0,00","0,00"
18,"0,00","0,00","0,00","0,00","0,00"
19,"0,00","0,00","0,00","0,00","0,00"
20,"87,22","0,00","87,22","-15,00","72,22"
21,"27,92","0,00","27,92","-10,00","17,92"
22,"13,91","0,00","13,91","-10,00","3,91"
23,"75,31","0,00","75,31","-10,00","65,31"
24,"61,57","0,00","61,57","-10,00","51,57"
25,"18,43","0,00","18,43","-5,72","12,71"
26,"0,00","0,00","0,00","0,00","0,00"
27,"73,63","0,00","73,63","-10,00","63,63"
28,"11,85","50,00","61,85","-20,00","41,85"
29,"37,22","50,00","87,22","-15,00","72,22"
30,"0,00","30,00","30,00","0,00","30,00"
6,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
,"407,06","5076,00","5483,06","-169,72","5313,34"
