Mai22,UBER,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
1,0,0,0,0,0,0
2,0,0,25,25,0,25
3,0,0,25,25,0,25
4,0,0,725,725,0,725
5,0,0,25,25,0,25
6,0,0,"1297,5","1297,5",0,"1297,5"
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,50,50,0,50
10,0,0,50,50,0,50
11,0,0,50,50,0,50
12,0,0,50,50,0,50
13,"70,92","18,58",50,"139,5",0,"139,5"
14,0,0,50,50,0,50
15,"107,89","101,97",50,"259,86",0,"259,86"
16,"75,89",0,50,"125,89",0,"125,89"
17,"50,84",0,50,"100,84",0,"100,84"
18,"66,19","14,73",50,"130,92",0,"130,92"
19,0,0,50,50,0,50
20,"72,05","43,05",50,"165,1",0,"165,1"
21,0,0,50,50,0,50
22,0,0,50,50,0,50
23,"87,23",25,50,"162,23",0,"162,23"
24,"14,24","42,43",50,"106,67",0,"106,67"
25,"31,73","13,92",50,"95,65",0,"95,65"
26,"50,25","45,02",50,"145,27",-100,"45,27"
27,"10,44",0,25,"35,44",0,"35,44"
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,25,25,0,25
31,0,0,0,0,"-161,04","-161,04"
Mai22,Uber,99Pop,OUTROS,Total,Gastos,Liquido
-,"637,67","304,7","3047,5","3989,87","-261,04","3728,83"
