MAI23,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
1, R$ -   ," R$ 1.178,38 "," R$ 1.178,38 ", R$ -   ," R$ 1.178,38 "
2," R$ 25,40 ", R$ -   ," R$ 25,40 ", R$ -   ," R$ 25,40 "
3," R$ 46,10 "," R$ 403,00 "," R$ 449,10 ","-R$ 85,00 "," R$ 364,10 "
4," R$ 65,10 "," R$ 200,00 "," R$ 265,10 ", R$ -   ," R$ 265,10 "
5," R$ 163,84 ", R$ -   ," R$ 163,84 ", R$ -   ," R$ 163,84 "
6," R$ 66,80 ", R$ -   ," R$ 66,80 ", R$ -   ," R$ 66,80 "
7, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
8," R$ 104,64 ", R$ -   ," R$ 104,64 ", R$ -   ," R$ 104,64 "
9," R$ 117,18 ", R$ -   ," R$ 117,18 ","-R$ 60,00 "," R$ 57,18 "
10," R$ 66,20 ", R$ -   ," R$ 66,20 ", R$ -   ," R$ 66,20 "
11," R$ 70,10 ", R$ -   ," R$ 70,10 ", R$ -   ," R$ 70,10 "
12," R$ 156,40 ", R$ -   ," R$ 156,40 ", R$ -   ," R$ 156,40 "
13," R$ 60,30 ", R$ -   ," R$ 60,30 ","-R$ 50,00 "," R$ 10,30 "
14," R$ 202,56 ", R$ -   ," R$ 202,56 ", R$ -   ," R$ 202,56 "
15," R$ 195,50 "," R$ 870,77 "," R$ 1.066,27 ","-R$ 100,00 "," R$ 966,27 "
16," R$ 50,06 ", R$ -   ," R$ 50,06 ", R$ -   ," R$ 50,06 "
17," R$ 15,80 ", R$ -   ," R$ 15,80 ", R$ -   ," R$ 15,80 "
18," R$ 92,32 ", R$ -   ," R$ 92,32 ", R$ -   ," R$ 92,32 "
19," R$ 37,60 ", R$ -   ," R$ 37,60 ", R$ -   ," R$ 37,60 "
20, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
21, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
22, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
23," R$ 94,60 ", R$ -   ," R$ 94,60 ", R$ -   ," R$ 94,60 "
24," R$ 22,20 ", R$ -   ," R$ 22,20 ", R$ -   ," R$ 22,20 "
25," R$ 29,50 ", R$ -   ," R$ 29,50 ", R$ -   ," R$ 29,50 "
26," R$ 40,00 ", R$ -   ," R$ 40,00 ", R$ -   ," R$ 40,00 "
27, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
28, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
29, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
30," R$ 21,12 ", R$ -   ," R$ 21,12 ", R$ -   ," R$ 21,12 "
31," R$ 57,12 ", R$ -   ," R$ 57,12 ", R$ -   ," R$ 57,12 "
MAI23, 99POP , OUTROS , TOTAL , GASTOS , LIQUIDO 
-," R$ 1.800,44 "," R$ 2.652,15 "," R$ 4.452,59 ","-R$ 295,00 "," R$ 4.157,59 "
