,,,,,,
,Mar23,99POP,OUTROS,TOTAL,GASTOS,LIQUIDO
,1,"0,00","1178,38","1178,38","0,00","1178,38"
,2,"0,00","554,56","554,56","0,00","554,56"
,3,"0,00","166,00","166,00","0,00","166,00"
,4,"0,00","50,00","50,00","0,00","50,00"
,5,"166,10","0,00","166,10","-20,00","146,10"
,6,"71,80","0,00","71,80","-30,00","41,80"
,7,"7,40","0,00","7,40","0,00","7,40"
,8,"105,30","0,00","105,30","-20,00","85,30"
,9,"78,00","0,00","78,00","-20,00","58,00"
,10,"49,80","0,00","49,80","-20,00","29,80"
,11,"69,90","0,00","69,90","-21,00","48,90"
,12,"107,60","0,00","107,60","-15,00","92,60"
,13,"0,00","0,00","0,00","0,00","0,00"
,14,"90,99","0,00","90,99","54,38","145,37"
,15,"34,30","0,00","34,30","-10,00","24,30"
,16,"30,80","870,77","901,57","-10,00","891,57"
,17,"39,80","0,00","39,80","-5,00","34,80"
,18,"0,00","0,00","0,00","0,00","0,00"
,19,"0,00","0,00","0,00","0,00","0,00"
,20,"0,00","0,00","0,00","0,00","0,00"
,21,"51,20","0,00","51,20","0,00","51,20"
,22,"0,00","0,00","0,00","0,00","0,00"
,23,"19,60","0,00","19,60","0,00","19,60"
,24,"16,70","0,00","16,70","0,00","16,70"
,25,"0,00","0,00","0,00","0,00","0,00"
,26,"0,00","0,00","0,00","0,00","0,00"
,27,"7,40","0,00","7,40","0,00","7,40"
,28,"0,00","0,00","0,00","-55,00","-55,00"
,29,"0,00","0,00","0,00","0,00","0,00"
,30,"0,00","0,00","0,00","0,00","0,00"
,31,"0,00","0,00","0,00","0,00","0,00"
,Mar23,99POP,Outros,TOTAL,GASTOS,LIQUIDO
,Total,"946,69","2819,71","3766,40","-171,62","3594,78"
