,,,,,,,,
,M03,99POP,UBER,OUTROS,TOTAL,GASTOS,LIQUIDO,Status
,1,"75,27","0,00","31,54","106,81","-40,00","66,81",M-Gyn
,2,"0,00","0,00","0,00","0,00","0,00","0,00",Folga
,3,"0,00","0,00","0,00","0,00","0,00","0,00",Folga
,4,"90,72","191,51","0,00","282,23","-223,08","59,15",C-BSB
,5,"60,13","249,17","24,00","333,30","-224,58","108,72",C-BSB
,6,"60,53","255,07","0,00","315,60","-267,00","48,60",C-BSB
,7,"44,22","162,35","0,00","206,57","-206,54","0,03",C-BSB
,8,"220,08","225,66","0,00","445,74","-237,54","208,20",C-BSB
,9,"150,23","203,79","0,00","354,02","-125,00","229,02",C-BSB
,10,"160,58","29,08","0,00","189,66","-100,00","89,66",C-BSB
,11,"68,15","130,01","0,00","198,16","-111,54","86,62",C-BSB
,12,"117,96","137,31","100,00","355,27","-211,54","143,73",C-BSB
,13,"53,91","160,21","0,00","214,12","-111,54","102,58",C-BSB
,14,"163,18","164,15","0,00","327,33","-233,54","93,79",C-BSB
,15,"43,16","100,56","0,00","143,72","-65,00","78,72",C-BSB
,16,"0,00","0,00","0,00","0,00","0,00","0,00",Folga
,17,"0,00","0,00","0,00","0,00","0,00","0,00",Folga
,18,"22,54","0,00","9,48","32,02","-20,00","12,02",Folga
,19,"89,14","27,90","25,00","142,04","-25,00","117,04",M-Gyn
,20,"75,50","0,00","50,40","125,90","-30,00","95,90",M-Gyn
,21,"90,90","0,00","68,40","159,30","-30,00","129,30",M-Gyn
,22,"174,35","29,63","0,00","203,98","-20,00","183,98",M-Gyn
,23,"32,00","0,00","0,00","32,00","0,00","32,00",M-Gyn
,24,"34,14","23,40","27,40","84,94","0,00","84,94",M-Gyn
,25,"155,80","25,20","0,00","181,00","-75,00","106,00",M-Gyn
,26,"54,20","20,70","0,00","74,90","0,00","74,90",M-Gyn
,27,"134,18","12,60","0,00","146,78","0,00","146,78",M-Gyn
,28,"187,31","0,00","0,00","187,31","0,00","187,31",M-Gyn
,29,"0,00","0,00","0,00","0,00","0,00","0,00",M-Gyn
,30,"0,00","0,00","0,00","0,00","0,00","0,00",M-Gyn
,31,"0,00","0,00","0,00","0,00","0,00","0,00",M-Gyn
,M03, 99POP ,UBER,OUTROS,TOTAL, GASTOS , LIQUIDO ,
,-," R$ 2.358,18 "," R$ 2.148,30 "," R$ 336,22 "," R$ 4.842,70 ","-R$ 2.356,90 "," R$ 2.485,80 ",
