M11,99POP,UBER,IFOOD,OUTROS,TOTAL,GASTOS,LIQUIDO
1," R$ 212,32 ", R$ -   , R$ -   , R$ -   ," R$ 212,32 ","-R$ 20,00 "," R$ 192,32 "
2," R$ 25,80 ", R$ -   , R$ -   , R$ -   ," R$ 25,80 ",," R$ 25,80 "
3," R$ 77,40 ", R$ -   , R$ -   , R$ -   ," R$ 77,40 ",," R$ 77,40 "
4," R$ 48,00 ", R$ -   , R$ -   , R$ -   ," R$ 48,00 ",," R$ 48,00 "
5," R$ 23,90 ", R$ -   ," R$ 19,56 ", R$ -   ," R$ 43,46 ",," R$ 43,46 "
6," R$ 161,90 ", R$ -   , R$ -   , R$ -   ," R$ 161,90 ","-R$ 20,00 "," R$ 141,90 "
7," R$ 118,10 ", R$ -   , R$ -   ," R$ 15,00 "," R$ 133,10 ","-R$ 70,00 "," R$ 63,10 "
8," R$ 138,46 "," R$ 187,86 ", R$ -   ," R$ 5,00 "," R$ 331,32 ","-R$ 292,41 "," R$ 38,91 "
9," R$ 81,25 "," R$ 200,82 ", R$ -   ," R$ 63,00 "," R$ 345,07 ","-R$ 158,38 "," R$ 186,69 "
10," R$ 152,13 "," R$ 178,47 ", R$ -   ," R$ 50,00 "," R$ 380,60 ","-R$ 159,42 "," R$ 221,18 "
11," R$ 87,45 "," R$ 37,71 ", R$ -   , R$ -   ," R$ 125,16 ","-R$ 124,42 "," R$ 0,74 "
12," R$ 14,13 "," R$ 229,18 ", R$ -   , R$ -   ," R$ 243,31 ","-R$ 184,42 "," R$ 58,89 "
13," R$ 88,90 "," R$ 206,64 ", R$ -   ," R$ 10,00 "," R$ 305,54 ","-R$ 184,42 "," R$ 121,12 "
14," R$ 134,60 "," R$ 189,58 ", R$ -   ," R$ 53,00 "," R$ 377,18 ","-R$ 219,42 "," R$ 157,76 "
15," R$ 78,00 "," R$ 15,05 ", R$ -   , R$ -   ," R$ 93,05 ","-R$ 25,00 "," R$ 68,05 "
16," R$ 114,90 ", R$ -   , R$ -   , R$ -   ," R$ 114,90 ","-R$ 25,00 "," R$ 89,90 "
17," R$ 150,40 ", R$ -   ," R$ 23,09 ", R$ -   ," R$ 173,49 ","-R$ 30,00 "," R$ 143,49 "
18," R$ 39,00 ", R$ -   , R$ -   , R$ -   ," R$ 39,00 ", R$ -   ," R$ 39,00 "
19, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
20," R$ 111,60 ", R$ -   , R$ -   , R$ -   ," R$ 111,60 ","-R$ 30,00 "," R$ 81,60 "
21," R$ 87,95 ", R$ -   , R$ -   , R$ -   ," R$ 87,95 ","-R$ 10,00 "," R$ 77,95 "
22," R$ 101,51 ", R$ -   , R$ -   ," R$ 20,00 "," R$ 121,51 ","-R$ 35,00 "," R$ 86,51 "
23," R$ 131,38 ", R$ -   , R$ -   ," R$ 26,00 "," R$ 157,38 ", R$ -   ," R$ 157,38 "
24," R$ 81,61 ", R$ -   , R$ -   , R$ -   ," R$ 81,61 ","-R$ 2,00 "," R$ 79,61 "
25, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
26, R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   , R$ -   
27, R$ -   , R$ -   ," R$ 58,18 ", R$ -   ," R$ 58,18 ", R$ -   ," R$ 58,18 "
28," R$ 109,99 "," R$ 92,22 ", R$ -   , R$ -   ," R$ 202,21 ","-R$ 185,00 "," R$ 17,21 "
29," R$ 128,47 "," R$ 327,42 ", R$ -   , R$ -   ," R$ 455,89 ","-R$ 222,00 "," R$ 233,89 "
30," R$ 169,64 "," R$ 247,99 ", R$ -   , R$ -   ," R$ 417,63 ","-R$ 229,00 "," R$ 188,63 "
M10,99POP,UBER,IFOOD,OUTROS,TOTAL,GASTOS,LIQUIDO
-," R$ 2.668,79 "," R$ 1.912,94 "," R$ 100,83 "," R$ 242,00 "," R$ 4.924,56 ","-R$ 2.225,89 "," R$ 2.698,67 "
