M10,99POP,INDRIVER,IFOOD,OUTROS,TOTAL,GASTOS,LIQUIDO,,,
1,"68,47","0,00","133,66","0,00","202,13","-60,00","142,13",,,
2,"0,00","11,00","24,80","4,00","39,80","0,00","39,80",,,
3,"72,79","25,00","49,66","0,00","147,45","0,00","147,45",,,
4,"0,00","0,00","58,66","0,00","58,66","0,00","58,66",,,
5,"166,18","22,50","0,00","0,00","188,68","-85,00","103,68",,,
6,"119,18","7,00","0,00","0,00","126,18","0,00","126,18",,,
7,"73,40","0,00","0,00","20,00","93,40","0,00","93,40",,,
8,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,
9,"116,30","19,00","0,00","10,00","145,30","0,00","145,30",,,
10,"114,32","10,00","0,00","0,00","124,32","-60,00","64,32",,,
11,"109,34","0,00","56,84","0,00","166,18","0,00","166,18",,,
12,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,
13,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,
14,"0,00","0,00","222,44","0,00","222,44","-60,00","162,44",,,
15,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,
16,"0,00","0,00","67,22","0,00","67,22","0,00","67,22",,,
17,"50,10","0,00","64,18","0,00","114,28","0,00","114,28",,,
18,"49,80","0,00","0,00","0,00","49,80","-30,00","19,80",,,"-141,06"
19,"105,74","0,00","0,00","0,00","105,74","0,00","105,74",,,
20,"127,14","0,00","0,00","0,00","127,14","-60,00","67,14",,,
21,"49,10","0,00","0,00","40,00","89,10","0,00","89,10",,,
22,"5,70","0,00","141,06","0,00","146,76","0,00","146,76",,,
23,"47,30","0,00","90,16","0,00","137,46","0,00","137,46",,,
24,"0,00","0,00","0,00","12,00","12,00","0,00","12,00",,,
25,"59,40","0,00","75,73","999,00","1134,13","-50,00","1084,13",,,
26,"63,70","0,00","6,50","13,00","83,20","0,00","83,20",,,
27,"30,90","0,00","0,00","681,00","711,90","-70,00","641,90",,,
28,"0,00","0,00","0,00","0,00","0,00","0,00","0,00",,,
29,"0,00","0,00","58,28","0,00","58,28","0,00","58,28",,,
30,"0,00","0,00","58,42","0,00","58,42","-40,00","18,42",,,
31, R$ -   ,"0,00",, R$ -   ,"0,00", R$ -   ,"0,00",,,
M10, 99POP ,INDRIVER,IFOOD,OUTROS,TOTAL, GASTOS , LIQUIDO ,,,
-," R$ 1.428,86 "," R$ 94,50 "," R$ 1.107,61 "," R$ 1.779,00 "," R$ 4.409,97 ","-R$ 515,00 "," R$ 3.894,97 ",,,
