M09,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
1,"120,34","48,38",0,"168,72",-80,-50,"38,72"
2,"181,45","25,6",0,"207,05",-80,"-77,5","49,55"
3,"165,41","163,2",0,"328,61",-80,-111,"137,61"
4,"182,01","31,9",0,"213,91",-70,-70,"73,91"
5,"231,43",0,0,"231,43",-80,-50,"101,43"
6,"259,9","98,4",175,"533,3",-160,-150,"223,3"
7,"31,96","119,43",0,"151,39",-80,-33,"38,39"
8,"435,33",0,0,"435,33",-160,-130,"145,33"
9,"261,02","31,57",0,"292,59",-80,-50,"162,59"
10,"192,93","17,6",0,"210,53",-70,-50,"90,53"
11,7,0,0,7,0,0,7
12,"106,94","47,39",0,"154,33",0,-88,"66,33"
13,"169,51","78,64",0,"248,15",0,-142,"106,15"
14,"89,8","295,98",0,"385,78",0,-200,"185,78"
15,"447,77","168,47",0,"616,24",-550,0,"66,24"
16,"89,15",0,0,"89,15",0,0,"89,15"
17,7,"80,61",120,"207,61",0,-130,"77,61"
18,"138,46","68,28",0,"206,74",0,-47,"159,74"
19,0,0,0,0,0,0,0
20,"302,71","37,5",25,"365,21",-80,-100,"185,21"
21,"46,85",0,350,"396,85",-80,-204,"112,85"
22,"200,16","82,77",0,"282,93",-80,-100,"102,93"
23,"218,1","44,68",0,"262,78",-80,-117,"65,78"
24,"117,45","28,2",0,"145,65",-80,-20,"45,65"
25,"63,13","8,9",0,"72,03",-70,0,"2,03"
26,"293,23","22,59",0,"315,82",-80,-175,"60,82"
27,"118,53","120,53",0,"239,06",-80,-75,"84,06"
28,"21,77",0,0,"21,77",0,-,"21,77"
29,103,"48,2",0,"151,2",-80,-25,"46,2"
30,"69,97","203,67",118,"391,64",-160,-173,"58,64"
-,-,-,-,0,-,,0
M09,UBER,99POP,OUTROS,TOTAL,ALUGUEL,GASTOS,LIQUIDO
-,"4672,31","1872,49",788,"7332,8",-2360,"-2367,5","2605,3"
